invoice_id,file_name,vendor,date,amount,category,text
INV0001,INV0001.txt,Delta Power,2024-11-07,14818,Maintenance,"Invoice ID: INV0001
Vendor: Delta Power
Date: 2024-11-07
Description: This invoice is for Maintenance related charges. Total payable amount: INR 14818.
Account No: ****1731"
INV0002,INV0002.txt,ABC Pvt Ltd,2025-09-19,8178,Supplies,"Invoice ID: INV0002
Vendor: ABC Pvt Ltd
Date: 2025-09-19
Description: This invoice is for Supplies related charges. Total payable amount: INR 8178.
Account No: ****9466"
INV0003,INV0003.txt,ABC Pvt Ltd,2024-11-10,2722,Maintenance,"Invoice ID: INV0003
Vendor: ABC Pvt Ltd
Date: 2024-11-10
Description: This invoice is for Maintenance related charges. Total payable amount: INR 2722.
Account No: ****7097"
INV0004,INV0004.txt,Delta Power,2025-02-04,10937,Maintenance,"Invoice ID: INV0004
Vendor: Delta Power
Date: 2025-02-04
Description: This invoice is for Maintenance related charges. Total payable amount: INR 10937.
Account No: ****3769"
INV0005,INV0005.txt,QuickFix Solutions,2024-12-13,4247,Supplies,"Invoice ID: INV0005
Vendor: QuickFix Solutions
Date: 2024-12-13
Description: This invoice is for Supplies related charges. Total payable amount: INR 4247.
Account No: ****9952"
INV0006,INV0006.txt,Alpha Services,2025-02-05,8152,Utilities,"Invoice ID: INV0006
Vendor: Alpha Services
Date: 2025-02-05
Description: This invoice is for Utilities related charges. Total payable amount: INR 8152.
Account No: ****4581"
INV0007,INV0007.txt,XYZ Corp,2024-11-04,11190,Maintenance,"Invoice ID: INV0007
Vendor: XYZ Corp
Date: 2024-11-04
Description: This invoice is for Maintenance related charges. Total payable amount: INR 11190.
Account No: ****2242"
INV0008,INV0008.txt,XYZ Corp,2025-01-14,2338,Internet,"Invoice ID: INV0008
Vendor: XYZ Corp
Date: 2025-01-14
Description: This invoice is for Internet related charges. Total payable amount: INR 2338.
Account No: ****8030"
INV0009,INV0009.txt,ABC Pvt Ltd,2025-09-07,2898,Rent,"Invoice ID: INV0009
Vendor: ABC Pvt Ltd
Date: 2025-09-07
Description: This invoice is for Rent related charges. Total payable amount: INR 2898.
Account No: ****2078"
INV0010,INV0010.txt,XYZ Corp,2025-10-05,8662,Maintenance,"Invoice ID: INV0010
Vendor: XYZ Corp
Date: 2025-10-05
Description: This invoice is for Maintenance related charges. Total payable amount: INR 8662.
Account No: ****2167"
INV0011,INV0011.txt,ABC Pvt Ltd,2025-02-16,3469,Internet,"Invoice ID: INV0011
Vendor: ABC Pvt Ltd
Date: 2025-02-16
Description: This invoice is for Internet related charges. Total payable amount: INR 3469.
Account No: ****4117"
INV0012,INV0012.txt,QuickFix Solutions,2025-05-30,11824,Utilities,"Invoice ID: INV0012
Vendor: QuickFix Solutions
Date: 2025-05-30
Description: This invoice is for Utilities related charges. Total payable amount: INR 11824.
Account No: ****6285"
INV0013,INV0013.txt,Alpha Services,2024-11-01,13946,Maintenance,"Invoice ID: INV0013
Vendor: Alpha Services
Date: 2024-11-01
Description: This invoice is for Maintenance related charges. Total payable amount: INR 13946.
Account No: ****5980"
INV0014,INV0014.txt,XYZ Corp,2024-11-17,13825,Rent,"Invoice ID: INV0014
Vendor: XYZ Corp
Date: 2024-11-17
Description: This invoice is for Rent related charges. Total payable amount: INR 13825.
Account No: ****5484"
INV0015,INV0015.txt,ABC Pvt Ltd,2025-10-04,12674,Internet,"Invoice ID: INV0015
Vendor: ABC Pvt Ltd
Date: 2025-10-04
Description: This invoice is for Internet related charges. Total payable amount: INR 12674.
Account No: ****4724"
INV0016,INV0016.txt,XYZ Corp,2025-01-23,8792,Utilities,"Invoice ID: INV0016
Vendor: XYZ Corp
Date: 2025-01-23
Description: This invoice is for Utilities related charges. Total payable amount: INR 8792.
Account No: ****9355"
INV0017,INV0017.txt,Delta Power,2025-07-25,7358,Maintenance,"Invoice ID: INV0017
Vendor: Delta Power
Date: 2025-07-25
Description: This invoice is for Maintenance related charges. Total payable amount: INR 7358.
Account No: ****4899"
INV0018,INV0018.txt,ABC Pvt Ltd,2025-03-18,5347,Internet,"Invoice ID: INV0018
Vendor: ABC Pvt Ltd
Date: 2025-03-18
Description: This invoice is for Internet related charges. Total payable amount: INR 5347.
Account No: ****5302"
INV0019,INV0019.txt,XYZ Corp,2025-05-06,4109,Rent,"Invoice ID: INV0019
Vendor: XYZ Corp
Date: 2025-05-06
Description: This invoice is for Rent related charges. Total payable amount: INR 4109.
Account No: ****7146"
INV0020,INV0020.txt,Alpha Services,2025-09-20,10887,Rent,"Invoice ID: INV0020
Vendor: Alpha Services
Date: 2025-09-20
Description: This invoice is for Rent related charges. Total payable amount: INR 10887.
Account No: ****2016"
INV0021,INV0021.txt,QuickFix Solutions,2025-08-17,2032,Maintenance,"Invoice ID: INV0021
Vendor: QuickFix Solutions
Date: 2025-08-17
Description: This invoice is for Maintenance related charges. Total payable amount: INR 2032.
Account No: ****6228"
